,precision,recall,f1-score,support
0,0.75,1.0,0.8571428571428571,6.0
1,1.0,0.9583333333333334,0.9787234042553191,24.0
2,1.0,0.8333333333333334,0.9090909090909091,6.0
accuracy,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
macro avg,0.9166666666666666,0.9305555555555557,0.9149857234963618,36.0
weighted avg,0.9583333333333334,0.9444444444444444,0.9468545638758405,36.0
