,precision,recall,f1-score,support
0,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
1,0.9473684210526315,1.0,0.972972972972973,18.0
2,1.0,0.9166666666666666,0.9565217391304348,12.0
accuracy,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
macro avg,0.9269005847953217,0.9166666666666666,0.9209426818122471,36.0
weighted avg,0.945906432748538,0.9444444444444444,0.9442159550855204,36.0
