date,Durchfall,Angst,Rachenschmerzen,Fieber,Entzündung,Muskelschmerzen,Schock,trockener Husten,Sputum,Husten,Kopfschmerzen,Erbrechen,Übelkeit,Lymphopenie,Pneumonie,respiratorische Insuffizienz,Dyspnoe,Hypoxämie,Müdigkeit,Ausfluss,Husten,Ausfluss,Übelkeit,Schock,Hypoxämie,Erbrechen,Muskelschmerzen,Durchfall,Lungenentzündung,Halsentzündung,Fieber,Kopfschmerzen,Lymphopenie,Entzündung,trockener Husten,Atemnot,Sputum,Müdigkeit,respiratorische Insuffizienz,Angst
2020-03-01,-0.0016039855661393,0.0001037860609826,-0.0010458368966476,-0.0052991792829715,-0.0071761096017031,-0.0095391914425081,-0.0124585479080098,-0.0039174863282302,0.0198197966219375,-0.0036530268919565,-0.0021321928232207,-0.0136254309982542,-0.0090986047390327,0.0051002708889824,0.007945278190159,-0.0059403458219166,0.0083705741268147,0.0027451357493975,-0.0133444149079001,-0.0055930611888336,0.0182887144242735,0.0028638340822507,-0.0093038490898482,-0.0004322998422209,0.025323432883161,-0.0103038384238837,0.006605487656004,-4.273274937846102e-05,0.015184382341718,-0.0151712011925764,0.0050892182240728,0.0032265894147678,0.0449709340542752,0.0026093846753114,0.035869509700507,0.0362513798245579,0.008623554240446,0.0001863904402649,0.0,0.0012636377198627
2020-03-02,-0.0021363806292553,-0.0004112657735851,-0.0011039316316307,-0.0052371829521162,-0.0069137120561512,-0.0097892334433952,-0.0127815818887942,-0.0057696555290693,0.0188752322343693,-0.004328965798087,-0.0022623453407249,-0.0141792845415954,-0.0094731854003278,0.004088669262986,0.0076117903340415,-0.0069942352432967,0.0074958262714206,0.002708030837657,-0.0134004239950514,-0.0050639877773906,0.0171720966259124,0.0023454826536206,-0.0093008551892599,-0.0006283880675465,0.0247657016963646,-0.010660663593059,0.0063041791679019,-0.001047894232678,0.0144049376944147,-0.0161558603855451,0.0042100975373307,0.0027760934102911,0.0422115433357792,0.0028758355149574,0.0324603981722056,0.0339023363571257,0.0078101501246225,0.0008397245226964,0.0,0.0005243340102017
2020-03-03,-0.0026145063173103,-0.0009075747636635,-0.0011825313584022,-0.0051308557733921,-0.006560385655381,-0.0100051103469778,-0.0131088196686877,-0.0072568825780913,0.0177043541048454,-0.0050090870591797,-0.0023660148270326,-0.0147045863864364,-0.009756449815638,0.0031524401847146,0.0073352673179841,-0.0080997469970936,0.006648631131855,0.0026738772620577,-0.0133586970938489,-0.004501173167463,0.0164697634936196,0.0017568959606884,-0.0092094883046873,-0.0008866246676502,0.0242360218104681,-0.0109916011782367,0.0059289197368546,-0.0019925428572627,0.0136564515223078,-0.0171384058846551,0.0036106314918448,0.0023523418275512,0.039592967231791,0.0031773168541234,0.0288609338662615,0.0315486822533982,0.0069870389608991,0.0014978950697317,0.0,-0.0001882478578064
2020-03-04,-0.0030268054738794,-0.0013833925149842,-0.0012781803387802,-0.0049970653536758,-0.0061369324981862,-0.0101746390946818,-0.0134348477311261,-0.0083232885088856,0.0164514471523262,-0.0056954825916251,-0.0024427940620907,-0.0151888546549554,-0.0099437193440888,0.0023040156852823,0.0070870913747047,-0.0092064089821745,0.0058546186185032,0.002644523484079,-0.013235753531906,-0.0039147552642194,0.016118164070792,0.0011326370349649,-0.009047450454061,-0.001193597467662,0.0237247901288519,-0.0113000237871599,0.0054817496890537,-0.0028760198795873,0.0129296510905263,-0.0181280317115625,0.0032377231813766,0.0019679311437695,0.0371097712613296,0.0035064938585122,0.0252306391540518,0.0292295111779904,0.0061588848889121,0.0021186027861492,0.0,-0.0008761587352203
2020-03-05,-0.0033654461778666,-0.0018382323107202,-0.0013858402803744,-0.0048576361601986,-0.0056717816131252,-0.0102821506956019,-0.0137495882922421,-0.0089695321490745,0.0152448090596907,-0.0063856240561873,-0.0024944843537495,-0.0156177886524666,-0.0100336999174683,0.0015421388858036,0.0068381010916627,-0.0102650536303919,0.0051292947803143,0.0026216839913864,-0.0130483128979767,-0.0033132839301347,0.0159911831457952,0.0005091715984524,-0.0088371074810856,-0.0015309703231094,0.023224691833194,-0.0115883316968355,0.0049519075411039,-0.0037057130661602,0.0122084478292283,-0.019140285187041,0.0030299708437037,0.0016302600952746,0.0347575171918733,0.0038506082966556,0.0217059590841266,0.0269754926854709,0.0053346047937511,0.0026601955016106,0.0,-0.0015423536118421
2020-03-06,-0.0036283691615311,-0.0022718871532689,-0.0015009894777405,-0.0047363890315404,-0.0051975227336701,-0.010308808296041,-0.0140388724405923,-0.0092467660477214,0.0141759139466183,-0.0070703993628448,-0.0025239052093624,-0.0159766702587634,-0.0100280520785288,0.0008587483756026,0.0065644226280981,-0.0112313177460316,0.004476342832899,0.0026066652584115,-0.0128112463444321,-0.0027044494517576,0.0159613046318049,-7.63540236207838e-05,-0.008600732923067,-0.0018787362879239,0.0227312597413289,-0.0118575719255406,0.0043239905339851,-0.0044960147128377,0.011477024613234,-0.0201954428913167,0.0029276529771349,0.0013418015962995,0.0325318489082028,0.0041938374796395,0.0184082553757531,0.0248123340838902,0.0045279891250882,0.003084350774825,0.0,-0.0021893481649434
2020-03-07,-0.0038198509388619,-0.0026843759403052,-0.0016197514491277,-0.0046551166343706,-0.0047448492013737,-0.0102349937665878,-0.0142854407228987,-0.0092430969297521,0.0133000362170391,-0.0077336784138269,-0.0025339120880201,-0.0162535990315042,-0.0099309613070503,0.0002488450716569,0.0062495961673928,-0.0120652569455236,0.0038902314165597,0.0026001649111322,-0.0125357233581019,-0.0020950111341173,0.0159363530110376,-0.0005888321054428,-0.0083590879114315,-0.0022163051867172,0.0222424840831094,-0.012105038546089,0.0035861219000273,-0.0052618458675602,0.0107211373186292,-0.0213124257771124,0.0028804481265927,0.0011005512552219,0.0304282638659891,0.004519951418874,0.0154541289581861,0.0227637821313598,0.0037563843304256,0.0033604244558058,0.0,-0.0028201497534592
2020-03-08,-0.0039500399629043,-0.0030766411678364,-0.0017391029841768,-0.0046295670853964,-0.0043387824414214,-0.0100442627909325,-0.0144712005751285,-0.009060694347591,0.0126475091068297,-0.0083534220475456,-0.0025276964840339,-0.0164426867553909,-0.0097497433959335,-0.0002883742376608,0.0058825181339873,-0.0127363512932853,0.0033588852987673,0.0026021660304193,-0.0122293453662375,-0.0014899271274667,0.0158557488188028,-0.0010045031940591,-0.008129263172011,-0.0025240319758082,0.0217579285459923,-0.0123231805414338,0.0027375113203612,-0.0060178111803665,0.0099271850950258,-0.0225075815151273,0.0028501421928764,0.0009011426902187,0.028441295358379,0.0048151455925135,0.0129602904925444,0.0208466172812814,0.0030398716587868,0.0034705879303609,0.0,-0.0034399290055778
2020-03-09,-0.0040328950759195,-0.0034507555598126,-0.0018567530554964,-0.0046687165786736,-0.0039973026184499,-0.0097256441800578,-0.0145784345015204,-0.0087911737590751,0.0122357383577225,-0.0089045583279728,-0.0025088766298143,-0.016544720352329,-0.009494289675609,-0.0007501598248208,0.0054529840659311,-0.0132311658966022,0.0028667064814759,0.0026119689647592,-0.0118974376714207,-0.0008921006305145,0.0156778164961686,-0.00131681978651,-0.007921424826813,-0.0027855241083962,0.0212774222240075,-0.0125006265584903,0.0017892986518053,-0.0067775894142344,0.0090933324569991,-0.0237940349818734,0.0028116160472272,0.0007359178981325,0.0265652448921706,0.0050716935333351,0.0110391867240063,0.0190658258376241,0.0023928702678909,0.0034125923407478,0.0,-0.0040540520330246
2020-03-10,-0.0040843649513719,-0.0038097950151488,-0.0019712041579094,-0.0047763901166515,-0.0037299419836817,-0.0092728361011215,-0.0145891789878108,-0.0085082641552062,0.0120731810911039,-0.009365940806723,-0.0024812378102983,-0.0165659405708293,-0.0091752244925888,-0.0011353375205838,0.0049509561659839,-0.0135527879355065,0.0023943059314409,0.0026285418472947,-0.0115432214940654,-0.0003027541640887,0.015366756615643,-0.0015368648041004,-0.0077370275519136,-0.0029884710347495,0.0208003730359813,-0.0126242216192922,0.0007593940114995,-0.007551327928174,0.0082424842118989,-0.0251810715271693,0.0027496423972686,0.0005955459962004,0.0247942090350704,0.0052887085875056,0.0097696787132155,0.0174215842632907,0.0018216135831103,0.0031995116651303,0.0,-0.0046641353766
