,precision,recall,f1-score,support
0,0.46153846153846156,1.0,0.631578947368421,6.0
1,1.0,0.8888888888888888,0.9411764705882353,18.0
2,1.0,0.5833333333333334,0.7368421052631579,12.0
accuracy,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8055555555555556
macro avg,0.8205128205128206,0.8240740740740741,0.7698658410732714,36.0
weighted avg,0.9102564102564104,0.8055555555555556,0.8214654282765738,36.0
