date,Durchfall,Angst,Rachenschmerzen,Fieber,Entzündung,Muskelschmerzen,Schock,trockener Husten,Sputum,Husten,Kopfschmerzen,Erbrechen,Übelkeit,Lymphopenie,Pneumonie,respiratorische Insuffizienz,Dyspnoe,Hypoxämie,Müdigkeit,Ausfluss,ensemble_trend,harmonic_p,Holm_pval(alpha=0.05),up/down trend
2020-02-25,0,1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,5.3690357770173196e-14,8.160934381066326e-12,-1
2020-02-26,0,1,-1,-1,-1,-1,-1,0,1,0,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,3.6392617146951634e-14,5.859211360659213e-12,-1
2020-02-27,0,1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,2.3032970842455344e-14,3.984703955744774e-12,-1
2020-02-28,0,0,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1.5983623736155334e-14,2.8450850250356494e-12,-1
2020-02-29,0,0,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1.1894521345037686e-16,3.413727626025816e-14,-1
2020-03-01,-1,0,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1.1845146752855154e-17,4.264252831027856e-15,-1
2020-03-02,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,2.1183791317129045e-19,1.1015571484907103e-16,-1
2020-03-03,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,3.8649700511006074e-18,1.565312870695746e-15,-1
2020-03-04,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1.873838470767322e-16,5.1155790251947886e-14,-1
2020-03-05,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1.1210246689421256e-17,4.0468990548810734e-15,-1
2020-03-06,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,1,-1,1,1,-1,-1,-1,1.2940019514566657e-18,5.772716051885122e-16,-1
2020-03-07,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,1,-1,1,1,-1,-1,-1,5.9381091242721206e-18,2.296325975408115e-15,-1
2020-03-08,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,1,-1,1,1,-1,-1,-1,5.884415556743005e-18,2.2890376515730287e-15,-1
2020-03-09,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,1,-1,1,1,-1,0,-1,3.777260227329127e-20,2.198365452305552e-17,-1
2020-03-10,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,0,-1,5.2659079559123326e-21,3.407042447475279e-18,-1
2020-03-11,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,0,-1,1.4773826069639e-20,9.085903032827985e-18,-1
2020-03-12,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,0,-1,3.4237074678498416e-18,1.407143769286285e-15,-1
2020-03-13,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0,1,-1,1,-1,8.295855590126533e-18,3.1109458462974495e-15,-1
2020-03-14,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,0,1,-1,1,-1,3.2611055760834866e-20,1.9142689731610067e-17,-1
2020-03-15,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,0,1,-1,1,-1,6.976647780394319e-22,4.841793559593658e-19,-1
2020-03-16,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,0,1,-1,1,-1,6.232239025534409e-23,4.586927922793325e-20,-1
2020-03-17,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0,-1,0,1,-1,1,-1,1.0112326852752779e-22,7.361773948804023e-20,-1
2020-03-18,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,1,-1,1.5270340896126959e-19,8.200173061220177e-17,-1
2020-03-19,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,4.5798762725686474e-18,1.8273706327548903e-15,-1
2020-03-20,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,5.656773881575481e-17,1.7422863555252482e-14,-1
