date,Durchfall,Angst,Rachenschmerzen,Fieber,Entzündung,Muskelschmerzen,Schock,trockener Husten,Sputum,Husten,Kopfschmerzen,Erbrechen,Übelkeit,Lymphopenie,Pneumonie,respiratorische Insuffizienz,Dyspnoe,Hypoxämie,Müdigkeit,Ausfluss
2020-03-01,-0.0016039855661393,0.0001037860609826,-0.0010458368966476,-0.0052991792829715,-0.0071761096017031,-0.0095391914425081,-0.0124585479080098,-0.0039174863282302,0.0198197966219375,-0.0036530268919565,-0.0021321928232207,-0.0136254309982542,-0.0090986047390327,0.0051002708889824,0.007945278190159,-0.0059403458219166,0.0083705741268147,0.0027451357493975,-0.0133444149079001,-0.0055930611888336
2020-03-02,-0.0021363806292553,-0.0004112657735851,-0.0011039316316307,-0.0052371829521162,-0.0069137120561512,-0.0097892334433952,-0.0127815818887942,-0.0057696555290693,0.0188752322343693,-0.004328965798087,-0.0022623453407249,-0.0141792845415954,-0.0094731854003278,0.004088669262986,0.0076117903340415,-0.0069942352432967,0.0074958262714206,0.002708030837657,-0.0134004239950514,-0.0050639877773906
2020-03-03,-0.0026145063173103,-0.0009075747636635,-0.0011825313584022,-0.0051308557733921,-0.006560385655381,-0.0100051103469778,-0.0131088196686877,-0.0072568825780913,0.0177043541048454,-0.0050090870591797,-0.0023660148270326,-0.0147045863864364,-0.009756449815638,0.0031524401847146,0.0073352673179841,-0.0080997469970936,0.006648631131855,0.0026738772620577,-0.0133586970938489,-0.004501173167463
2020-03-04,-0.0030268054738794,-0.0013833925149842,-0.0012781803387802,-0.0049970653536758,-0.0061369324981862,-0.0101746390946818,-0.0134348477311261,-0.0083232885088856,0.0164514471523262,-0.0056954825916251,-0.0024427940620907,-0.0151888546549554,-0.0099437193440888,0.0023040156852823,0.0070870913747047,-0.0092064089821745,0.0058546186185032,0.002644523484079,-0.013235753531906,-0.0039147552642194
2020-03-05,-0.0033654461778666,-0.0018382323107202,-0.0013858402803744,-0.0048576361601986,-0.0056717816131252,-0.0102821506956019,-0.0137495882922421,-0.0089695321490745,0.0152448090596907,-0.0063856240561873,-0.0024944843537495,-0.0156177886524666,-0.0100336999174683,0.0015421388858036,0.0068381010916627,-0.0102650536303919,0.0051292947803143,0.0026216839913864,-0.0130483128979767,-0.0033132839301347
2020-03-06,-0.0036283691615311,-0.0022718871532689,-0.0015009894777405,-0.0047363890315404,-0.0051975227336701,-0.010308808296041,-0.0140388724405923,-0.0092467660477214,0.0141759139466183,-0.0070703993628448,-0.0025239052093624,-0.0159766702587634,-0.0100280520785288,0.0008587483756026,0.0065644226280981,-0.0112313177460316,0.004476342832899,0.0026066652584115,-0.0128112463444321,-0.0027044494517576
2020-03-07,-0.0038198509388619,-0.0026843759403052,-0.0016197514491277,-0.0046551166343706,-0.0047448492013737,-0.0102349937665878,-0.0142854407228987,-0.0092430969297521,0.0133000362170391,-0.0077336784138269,-0.0025339120880201,-0.0162535990315042,-0.0099309613070503,0.0002488450716569,0.0062495961673928,-0.0120652569455236,0.0038902314165597,0.0026001649111322,-0.0125357233581019,-0.0020950111341173
2020-03-08,-0.0039500399629043,-0.0030766411678364,-0.0017391029841768,-0.0046295670853964,-0.0043387824414214,-0.0100442627909325,-0.0144712005751285,-0.009060694347591,0.0126475091068297,-0.0083534220475456,-0.0025276964840339,-0.0164426867553909,-0.0097497433959335,-0.0002883742376608,0.0058825181339873,-0.0127363512932853,0.0033588852987673,0.0026021660304193,-0.0122293453662375,-0.0014899271274667
2020-03-09,-0.0040328950759195,-0.0034507555598126,-0.0018567530554964,-0.0046687165786736,-0.0039973026184499,-0.0097256441800578,-0.0145784345015204,-0.0087911737590751,0.0122357383577225,-0.0089045583279728,-0.0025088766298143,-0.016544720352329,-0.009494289675609,-0.0007501598248208,0.0054529840659311,-0.0132311658966022,0.0028667064814759,0.0026119689647592,-0.0118974376714207,-0.0008921006305145
2020-03-10,-0.0040843649513719,-0.0038097950151488,-0.0019712041579094,-0.0047763901166515,-0.0037299419836817,-0.0092728361011215,-0.0145891789878108,-0.0085082641552062,0.0120731810911039,-0.009365940806723,-0.0024812378102983,-0.0165659405708293,-0.0091752244925888,-0.0011353375205838,0.0049509561659839,-0.0135527879355065,0.0023943059314409,0.0026285418472947,-0.0115432214940654,-0.0003027541640887
2020-03-11,-0.0041219760450939,-0.0041590358383751,-0.0020807583618587,-0.0049533221851946,-0.0035379150012846,-0.0086839652629193,-0.0144852212180129,-0.0082830481917156,0.0121556666686642,-0.0097267614097347,-0.0024486858014284,-0.016515233225953,-0.0088022254259861,-0.0014491799338916,0.004364319290267,-0.0137143895983567,0.0019192493757019,0.0026507673367818,-0.0111671665514255,0.0002772567790656
2020-03-12,-0.004162807897639,-0.00450518272135,-0.0021810457778657,-0.005196191284106,-0.003418377205133,-0.007960498544249,-0.014249608321518,-0.0081693188062613,0.0124585812056595,-0.0099890413838608,-0.0024147593885967,-0.0164005040345925,-0.0083825774857939,-0.0016984809581963,0.0036774432693249,-0.0137350047042374,0.0014184687625896,0.002677442728603,-0.0107668045494188,0.0008466427604474
2020-03-13,-0.0042214806791612,-0.0048548373434518,-0.0022646492062894,-0.0054972610790878,-0.0033659453442014,-0.0071080820307471,-0.0138684556405251,-0.0081841868652078,0.0129260035836768,-0.0101662367899241,-0.0023826012977217,-0.0162271293964132,-0.007920897348888,-0.0018901479651946,0.0028745191790947,-0.0136381947001978,0.00087337147993,0.0027072618347577,-0.0103353029138747,0.0014032862514872
2020-03-14,-0.0043094832368584,-0.0052131585133115,-0.0023219879769452,-0.0058437064463568,-0.0033741969135749,-0.0061380333577409,-0.0133324344442842,-0.0083135791533236,0.0134731805982188,-0.0102793803382785,-0.0023552965802427,-0.0159992222425291,-0.007420045945057,-0.0020285537627755,0.0019462515139551,-0.0134531086782492,0.0002704253119592,0.0027390411404721,-0.0098609145559409,0.0019438771725177
2020-03-15,-0.004434499234012,-0.0055823136238171,-0.0023435257589072,-0.0062185749928312,-0.0034344329878241,-0.0050681217790629,-0.0126385166111179,-0.0085206646223502,0.0139949686020414,-0.0103513914929815,-0.0023355710776371,-0.0157195778793945,-0.0068822800604012,-0.0021205235125622,0.0008936522586872,-0.0132111179250044,-0.0003995270364902,0.0027717061732096,-0.0093281062683688,0.0024650828376704
2020-03-16,-0.0046001383377485,-0.0059604861352802,-0.0023211444095691,-0.0066051538395019,-0.003535188342518,-0.003921351999838,-0.0117911670498836,-0.0087517046567057,0.0143739240241349,-0.0104071081664004,-0.0023252839471101,-0.0153885515530839,-0.0063101312874842,-0.0021780577091688,-0.0002714424125293,-0.0129409901820232,-0.0011411849419241,0.002804267549919,-0.0087177548369841,0.0029639511274257
2020-03-17,-0.0048060808816267,-0.006341549498982,-0.0022483077187044,-0.0069906279941763,-0.0036622821500004,-0.0027249083673603,-0.0108041114166817,-0.0089540022769626,0.0144934254896253,-0.0104791291166036,-0.0023256006814066,-0.0150033715423176,-0.005707323030028,-0.0022176862801569,-0.0015284401368357,-0.0126659906595312,-0.0019534086681386,0.0028355459760051,-0.0080087613603102,0.003436910327157
2020-03-18,-0.0050483016921275,-0.0067144518470429,-0.0021205190680472,-0.0073675829446535,-0.0037963269912273,-0.0015068782902924,-0.0097015377213347,-0.009083569215421,0.0142619187868404,-0.0106070487852965,-0.0023371584368452,-0.0145586888535199,-0.0050783188266656,-0.0022567188085218,-0.0028520937097126,-0.0124013539520693,-0.0028283761826273,0.0028640670039724,-0.0071822328195916,0.0038804086911363
