date,Husten,Ausfluss,Übelkeit,Schock,Hypoxämie,Erbrechen,Muskelschmerzen,Durchfall,Lungenentzündung,Halsentzündung,Fieber,Kopfschmerzen,Lymphopenie,Entzündung,trockener Husten,Atemnot,Sputum,Müdigkeit,respiratorische Insuffizienz,Angst,ensemble_trend,harmonic_p,Holm_pval(alpha=0.05),up/down trend
2020-02-13,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,0,1,1,2.1488416478108637e-18,1.0164020994145385e-15,1
2020-02-14,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,-1,0,1,1,5.769599170148028e-20,3.415602708727633e-17,1
2020-02-15,1,0,-1,1,1,-1,-1,1,1,0,1,1,1,0,1,1,1,-1,0,1,1,7.297240284055818e-22,5.027798555714458e-19,1
2020-02-16,1,0,-1,1,1,-1,0,1,1,0,1,1,1,0,1,1,1,-1,0,1,1,5.1790515756683964e-24,3.956795403810655e-21,1
2020-02-17,1,0,-1,0,1,-1,0,1,1,0,1,1,1,0,1,1,1,-1,0,1,1,5.055406140230474e-25,3.9988262569223054e-22,1
2020-02-18,1,0,-1,0,1,-1,0,1,1,0,1,1,1,0,1,1,1,-1,0,1,1,1.863931150271255e-23,1.4016762250039837e-20,1
2020-02-19,1,0,-1,0,1,-1,0,1,1,0,1,1,1,0,1,1,1,-1,0,1,1,1.1544030866023734e-21,7.815308896298068e-19,1
2020-02-20,1,1,-1,0,1,-1,0,1,1,-1,1,1,1,1,1,1,1,-1,0,1,1,2.716316646901736e-20,1.646087888022452e-17,1
2020-02-21,1,1,-1,0,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,0,1,1,2.3317759711873126e-19,1.2708179042970854e-16,1
2020-02-22,1,1,-1,0,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,0,1,1,9.595875429342623e-19,4.778745963812626e-16,1
2020-02-23,1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,0,1,1,2.8547643579275492e-18,1.3136214992876708e-15,1
2020-02-24,1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,0,1,1,8.639214204632684e-18,3.593913109127197e-15,1
2020-02-25,1,1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,0,1,1,5.810003138354445e-17,2.062551114115828e-14,1
2020-02-26,1,1,-1,0,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,0,1,1,2.6402427741673246e-15,5.808534103168114e-13,1
2020-02-27,1,1,-1,0,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,0,1,1,7.130390772741285e-14,8.770380650471781e-12,1
2020-02-28,1,1,-1,0,1,-1,1,0,1,-1,1,1,1,1,1,1,1,0,0,1,1,8.846944848045857e-15,1.610143962344346e-12,1
2020-02-29,1,1,-1,0,1,-1,1,0,1,-1,1,1,1,1,1,1,1,0,0,1,1,5.12435491439142e-14,6.507930741277104e-12,1
2020-03-01,1,1,-1,0,1,-1,1,0,1,-1,1,1,1,1,1,1,1,0,0,0,1,2.889692613664397e-14,4.250806122113453e-12,1
2020-03-02,1,1,-1,0,1,-1,1,0,1,-1,1,1,1,1,1,1,1,0,0,0,1,1.9707626877891646e-14,3.0940974198289883e-12,1
2020-03-03,1,0,-1,-1,1,-1,1,0,1,-1,1,1,1,1,1,1,1,0,0,0,1,1.4076747684834803e-14,2.4493540971612557e-12,1
2020-03-04,1,0,-1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,0,0,1,8.630801190371574e-17,2.9431032059167065e-14,1
2020-03-05,1,0,-1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,0,0,1,1.1496994766059992e-19,6.530293027122076e-17,1
2020-03-06,1,0,-1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,0,-1,1,4.676438043265022e-20,2.801273442693737e-17,1
2020-03-07,1,0,-1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,0,-1,1,9.970188319848372e-20,5.712917907273117e-17,1
2020-03-08,1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,0,-1,1,6.473052919976446e-18,2.783412755589872e-15,1
2020-03-09,1,-1,-1,-1,1,-1,0,-1,1,-1,1,1,1,1,1,1,1,1,0,-1,1,1.9483745320313418e-15,4.422810187711146e-13,1
2020-03-10,1,-1,-1,-1,1,-1,0,-1,1,-1,1,1,1,1,1,1,1,1,0,-1,1,3.599178985406044e-14,5.074842369422523e-12,1
2020-03-11,1,-1,-1,-1,1,-1,0,-1,1,-1,1,1,1,1,1,1,1,1,0,-1,1,3.6613037719322845e-14,5.125825280705199e-12,1
2020-03-12,1,-1,-1,-1,1,-1,0,-1,1,-1,1,1,1,1,1,1,0,1,0,-1,1,1.8135857522573298e-16,5.694659262088015e-14,1
2020-03-13,1,-1,-1,-1,1,-1,0,-1,1,-1,1,0,1,1,1,1,0,1,0,-1,1,8.292243438026426e-16,2.1559832938868707e-13,1
2020-03-14,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0,1,1,1,1,0,1,0,-1,1,1.6111927790735142e-15,3.737967247450553e-13,1
2020-03-15,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0,1,1,1,1,0,0,0,-1,0,100.0,1.0,0
2020-03-16,1,-1,-1,-1,1,-1,-1,-1,1,-1,0,0,1,1,1,1,0,0,0,-1,-1,2.8811858027013164e-12,1.8147841887888698e-10,-1
2020-03-17,1,-1,-1,-1,1,-1,-1,-1,1,-1,0,0,1,1,1,1,0,0,0,-1,-1,1.8071468311303413e-11,9.216448838764741e-10,-1
